"Database","Source_ID","SS_ID","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"Midolo_GEB_2019","1991 Wilson and Tilman","1991 Wilson and Tilman",-93.2,45.4,"Plants","N_addition",20,"kg_N_ha_yr",8,0,0.357775302145338
"Midolo_GEB_2019","1991 Wilson and Tilman","1991 Wilson and Tilman",-93.2,45.4,"Plants","N_addition",95,"kg_N_ha_yr",8,0.125,0.289480628874363
"Midolo_GEB_2019","1991 Wilson and Tilman","1991 Wilson and Tilman",-93.2,45.4,"Plants","N_addition",170,"kg_N_ha_yr",8,0.125,0.245209128187288
"Midolo_GEB_2019","1998 Foster and Goss","1998 Foster and Goss",-85.39,42.4,"Plants","N_addition",480,"kg_N_ha_yr",11,0.272727272727273,0.586341958859764
"Midolo_GEB_2019","1998 Nohrstedt","1998 Nohrstedt",13.7,60,"Plants","N_addition",37.5,"kg_N_ha_yr",13,0.0769230769230769,0.250644547759932
"Midolo_GEB_2019","1998 Nohrstedt","1998 Nohrstedt",13.7,60,"Plants","N_addition",75,"kg_N_ha_yr",13,0,0.264572692958238
"Midolo_GEB_2019","1998 Nohrstedt","1998 Nohrstedt",13.7,60,"Plants","N_addition",150,"kg_N_ha_yr",13,0.0769230769230769,0.411725133840518
"Midolo_GEB_2019","2001 Heijmans et al.","2001 Heijmans et al.",6.4,52.8,"Plants","N_addition",50,"kg_N_ha_yr",4,0,0.25
"Midolo_GEB_2019","2002 Nilsson et al.","2002 Nilsson et al.",19,65.5,"Plants","N_addition",50,"kg_N_ha_yr",9,0,0.362997219381071
"Midolo_GEB_2019","2002 Ostertag and Verville A","2002 Ostertag and Verville A",-155.25,19.41,"Plants","N_addition",100,"kg_N_ha_yr",9,0.111111111111111,0.589626677889126
"Midolo_GEB_2019","2002 Ostertag and Verville B","2002 Ostertag and Verville B",-159.61,22.14,"Plants","N_addition",100,"kg_N_ha_yr",15,0.2,0.470600519193304
"Midolo_GEB_2019","2003 Carroll et al. A","2003 Carroll et al. A",-2,53,"Plants","N_addition",35,"kg_N_ha_yr",9,0.111111111111111,0.221576817861648
