"Database","Source_ID","Source_ID_original","Authors_year","Year","Journal","DOI"
"PREDICTS",1,"AD1_2010__Quintero","Quintero et al. 2010",2010,"Biodiversity and Conservation","10.1007/s10531-009-9720-5"
"PREDICTS",2,"AD1_2011__Tonietto","Tonietto et al. 2011",2011,"Landscape and Urban Planning","10.1016/j.landurbplan.2011.07.004"
"PREDICTS",3,"AD1_2012__Yamaura","Yamaura et al. 2012",2012,"Biodiversity and Conservation","10.1007/s10531-012-0244-z"
"PREDICTS",4,"AD1_2013__Grass","Grass et al. 2013",2013,"Oecologia","10.1007/s00442-013-2688-6"
"PREDICTS",5,"AR1_2007__Gottschalk","Gottschalk et al. 2007",2007,"Neotropical Entomology","10.1590/s1519-566x2007000600005"
"PREDICTS",6,"AR1_2008__Navarrete","Navarrete and Halffter 2008",2008,"Biodiversity and Conservation","10.1007/s10531-008-9402-8"
"PREDICTS",7,"AR1_2010__Kone","Kone et al. 2010",2010,"Journal of Applied Biosciences",""
"PREDICTS",8,"AR1_2011__Slade","Slade et al. 2011",2011,"Biological Conservation","10.1016/j.biocon.2010.08.011"
"PREDICTS",9,"BS1_2011__Jolli","Jolli and Pandit 2011",2011,"Ring","10.2478/v10050-011-0003-7"
"PREDICTS",10,"BS1_2012__Naithani","Naithani and Bhatt 2012",2012,"Biologia","10.2478/s11756-012-0068-z"
"PREDICTS",11,"CC1_2007__Ewers","Ewers et al. 2007",2007,"Ecology","10.1890/0012-9658(2007)88[96:sibeaa]2.0.co;2"
"PREDICTS",12,"CC1_2013__Litchwark","Litchwark 2013",2013,"",""
"PREDICTS",13,"CM1_2007__MarinSpiotta","Marin-Spiotta et al. 2007",2007,"Ecological Applications","10.1890/06-1268"
"PREDICTS",14,"CM1_2008__LoManHung","Lo-Man-Hung et al. 2008",2008,"Journal of Arachnology","10.1636/ct07-136.1"
"PREDICTS",15,"CM1_2009__Letcher","Letcher and Chazdon 2009",2009,"Biotropica","10.1111/j.1744-7429.2009.00517.x"
"PREDICTS",16,"CM1_2009__Roembke","Römbke et al. 2009",2009,"Pesquisa Agropecuaria Brasileira","10.1590/s0100-204x2009000800037"
"PREDICTS",17,"CM1_2010__Berry","Berry et al. 2010",2010,"Biodiversity and Conservation","10.1007/s10531-010-9779-z"
"PREDICTS",18,"CM1_2012__Katovai","Katovai et al. 2012",2012,"Biological Conservation","10.1016/j.biocon.2011.11.008"
"PREDICTS",19,"CM1_2012__McNamara","McNamara et al. 2012",2012,"Forest Ecology and Management","10.1016/j.foreco.2012.06.004"
"PREDICTS",20,"DI1_2006__Scott","Scott et al. 2006",2006,"Biological Conservation","10.1016/j.biocon.2005.07.014"
"PREDICTS",21,"DI1_2008__Noeske","Nöske et al. 2008",2008,"Basic and Applied Ecology","10.1016/j.baae.2007.06.014"
"PREDICTS",22,"DI1_2012__Reid","Reid et al. 2012",2012,"Biotropica","10.1111/j.1744-7429.2011.00814.x"
"PREDICTS",23,"DI1_2012__Roes","Rös et al. 2012",2012,"Diversity and Distributions","10.1111/j.1472-4642.2011.00834.x"
"PREDICTS",24,"DI1_2013__deLima","de Lima et al. 2013",2013,"Diversity and Distributions","10.1111/ddi.12015"
"PREDICTS",25,"DL1_2009__Rasmussen","Rasmussen 2009",2009,"Neotropical Entomology","10.1590/s1519-566x2009000100006"
"PREDICTS",26,"DL1_2009__Sugiura","Sugiura et al. 2009",2009,"Journal of Insect Conservation","10.1007/s10841-008-9185-y"
"PREDICTS",27,"DL1_2010__Bocon","Bóçon 2010",2010,"",""
"PREDICTS",28,"DL1_2010__Jacobs","Jacobs et al. 2010",2010,"Journal of Insect Conservation","10.1007/s10841-010-9270-x"
"PREDICTS",29,"DL1_2010__Miranda","Miranda et al. 2010",2010,"Ornitologia Neotropical",""
"PREDICTS",30,"DL1_2012__Politi","Politi et al. 2012",2012,"Biodiversity and Conservation","10.1007/s10531-012-0358-3"
