"Variable","Element","Estimate","lwr","upr","se","p","n"
"Afrotropic","Intercept",-1.55,-1.8,-1.3,0.13,0,180
"Australasia","Intercept",-1.67,-2.21,-1.13,0.28,0.6714,256
"Indomalay","Intercept",-1.53,-1.91,-1.16,0.19,0.9245,52
"Nearctic","Intercept",-1.68,-2.04,-1.32,0.18,0.4815,12673
"Neotropic","Intercept",-1.85,-2.14,-1.56,0.15,0.045,303
"Palearctic","Intercept",-1.19,-1.51,-0.86,0.16,0.0272,233
"PDF:Afrotropic","Slope",4.65,4.34,4.97,0.16,0,NA
"PDF:Australasia","Slope",5.54,4.49,6.6,0.54,0.0959,NA
"PDF:Indomalay","Slope",4.23,3.75,4.7,0.24,0.0795,NA
"PDF:Nearctic","Slope",4.73,4.27,5.18,0.23,0.7385,NA
"PDF:Neotropic","Slope",5.07,4.7,5.44,0.19,0.0262,NA
"PDF:Palearctic","Slope",3.6,3.21,3.99,0.2,0,NA
