"pressure_intensity","intraspecies_diversity","interspecies_diversity","diversity_metric","diversity_value"
0,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.001,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.001,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.002,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.002,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.003,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.003,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.004,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.004,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.005,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.005,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.006,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.006,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.007,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.007,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.008,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.008,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.009,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.009,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.01,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.01,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.011,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.011,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.012,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.012,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.013,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.013,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.014,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.014,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.015,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.015,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.016,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.016,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.017,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.017,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.018,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.018,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.019,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.019,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.02,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.02,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.021,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.021,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.022,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.022,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.023,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.023,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.024,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.024,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.025,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.025,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.026,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.026,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.027,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.027,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.028,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.028,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.029,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
0.029,"Minimum intraspecies diversity","Minimum interspecies diversity","PDF",0
0.03,"Minimum intraspecies diversity","Minimum interspecies diversity","MSA-loss",0
