"Database","Source_ID","SS_ID","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"Kuipers_GCB_2023",2,"2_1",-43.88,-22.75,"Vertebrates","Land_use","Cropland","Land_use_category",23,0.217391304347826,0.310796645702306
"Kuipers_GCB_2023",3,"3_1",-60.21,2.76,"Vertebrates","Land_use","Cropland","Land_use_category",9,0,0.136411515739912
"Kuipers_GCB_2023",8,"8_1",37.94,-4.28,"Vertebrates","Land_use","Cropland","Land_use_category",2,0.5,0.5
"Kuipers_GCB_2023",9,"9_1",28,-12.83,"Vertebrates","Land_use","Cropland","Land_use_category",3,0.666666666666667,0.666666666666667
"Kuipers_GCB_2023",9,"9_2",28,-12.83,"Vertebrates","Land_use","Cropland","Land_use_category",2,0.5,0.5
"Kuipers_GCB_2023",12,"12_1",36.23,7.63,"Vertebrates","Land_use","Cropland","Land_use_category",15,0.266666666666667,0.459963768115942
"Kuipers_GCB_2023",14,"14_1",32.57,-28.3,"Vertebrates","Land_use","Pasture","Land_use_category",10,0.1,0.743544641206231
"Kuipers_GCB_2023",16,"16_1",-65.58,-38,"Vertebrates","Land_use","Pasture","Land_use_category",6,0.166666666666667,0.431623931623932
"Kuipers_GCB_2023",17,"17_1",-88.93,17.6,"Vertebrates","Land_use","Cropland","Land_use_category",2,0,0.184210526315789
"Kuipers_GCB_2023",17,"17_1",-88.93,17.6,"Vertebrates","Land_use","Forest plantation","Land_use_category",2,0.5,0.5
"Kuipers_GCB_2023",17,"17_2",-88.93,17.6,"Vertebrates","Land_use","Cropland","Land_use_category",2,0,0.5
"Kuipers_GCB_2023",17,"17_2",-88.93,17.6,"Vertebrates","Land_use","Forest plantation","Land_use_category",2,0,0.5
"Kuipers_GCB_2023",17,"17_3",-88.93,17.6,"Vertebrates","Land_use","Cropland","Land_use_category",2,0,0.5
"Kuipers_GCB_2023",17,"17_3",-88.93,17.6,"Vertebrates","Land_use","Forest plantation","Land_use_category",2,0,0.346666666666667
"Kuipers_GCB_2023",17,"17_4",-88.93,17.6,"Vertebrates","Land_use","Cropland","Land_use_category",2,0,0.5
"Kuipers_GCB_2023",17,"17_4",-88.93,17.6,"Vertebrates","Land_use","Forest plantation","Land_use_category",2,0,0.5
"Kuipers_GCB_2023",21,"21_1",39.83,-3.33,"Vertebrates","Land_use","Cropland","Land_use_category",10,0.1,0.116666666666667
"Kuipers_GCB_2023",26,"26_1",-96.725833,19.343056,"Vertebrates","Land_use","Cropland","Land_use_category",15,0.2,0.39242654508612
"Kuipers_GCB_2023",30,"30_1",12.34,7.37,"Vertebrates","Land_use","Cropland","Land_use_category",11,0.545454545454545,0.595547309833024
"Kuipers_GCB_2023",41,"41_1",117.53,4.6685,"Vertebrates","Land_use","Cropland","Land_use_category",12,0.75,0.780701754385965
"Kuipers_GCB_2023",46,"46_1",-98.05,19.22,"Vertebrates","Land_use","Cropland","Land_use_category",2,0.5,0.83648393194707
"Kuipers_GCB_2023",49,"49_1",-90.86,38.66,"Vertebrates","Land_use","Cropland","Land_use_category",6,0.333333333333333,0.333333333333333
"Kuipers_GCB_2023",52,"52_1",-119.42,36.78,"Vertebrates","Land_use","Cropland","Land_use_category",9,0,0.559251921158529
"Kuipers_GCB_2023",58,"58_1",76.9,10.3,"Vertebrates","Land_use","Cropland","Land_use_category",11,0.0909090909090909,0.437633799487632
"Kuipers_GCB_2023",64,"64_1",28.88,-25.63,"Vertebrates","Land_use","Pasture","Land_use_category",11,0.0909090909090909,0.284869675778767
