"Database","Source_ID","SS_ID","Source_ID_original","SS_ID_original","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS",1,"1_1","AD1_2010__Quintero","AD1_2010__Quintero 1",-71.81667,-41.03333,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",3,0.333333333333333,0.333333333333333
"PREDICTS",1,"1_1","AD1_2010__Quintero","AD1_2010__Quintero 1",-71.53333,-41.15,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",1,"1_1","AD1_2010__Quintero","AD1_2010__Quintero 1",-71.31667,-41.15,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",3,0.666666666666667,0.666666666666667
"PREDICTS",2,"2_1","AD1_2011__Tonietto","AD1_2011__Tonietto 1",-88.1447583333,41.3482388889,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",33,0.545454545454545,0.580899908172635
"PREDICTS",2,"2_1","AD1_2011__Tonietto","AD1_2011__Tonietto 1",-87.8182944444,42.100425,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",33,0.787878787878788,0.787878787878788
"PREDICTS",2,"2_1","AD1_2011__Tonietto","AD1_2011__Tonietto 1",-87.8183527778,42.0994916667,"Invertebrates","Land_use","Urban","Land_use_category",33,0.848484848484849,0.848484848484849
"PREDICTS",2,"2_1","AD1_2011__Tonietto","AD1_2011__Tonietto 1",-87.6468310606091,41.9052507575727,"Invertebrates","Land_use","Urban","Land_use_category",33,0.515151515151515,0.693380938009037
"PREDICTS",3,"3_1","AD1_2012__Yamaura","AD1_2012__Yamaura 3",141.25209,39.800684,"Plants","Land_use","Cropland","Land_use_category",26,0.807692307692308,0.85989010989011
"PREDICTS",3,"3_1","AD1_2012__Yamaura","AD1_2012__Yamaura 3",141.378983,39.792631,"Plants","Land_use","Pasture","Land_use_category",45,0.844444444444444,0.911531986531987
"PREDICTS",4,"4_1","AD1_2013__Grass","AD1_2013__Grass 1",30.2949628333333,-30.671239,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",7,0.428571428571429,0.56025267249757
"PREDICTS",5,"5_1","AR1_2007__Gottschalk","AR1_2007__Gottschalk 1",-48.5177778,-27.58444444,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",6,0.166666666666667,0.217505634861007
"PREDICTS",5,"5_1","AR1_2007__Gottschalk","AR1_2007__Gottschalk 1",-48.550556,-27.590833,"Invertebrates","Land_use","Urban","Land_use_category",22,0,0.219584705684443
"PREDICTS",5,"5_1","AR1_2007__Gottschalk","AR1_2007__Gottschalk 1",-48.536667,-27.597222,"Invertebrates","Land_use","Urban","Land_use_category",13,0.153846153846154,0.362290062118465
"PREDICTS",6,"6_1","AR1_2008__Navarrete","AR1_2008__Navarrete 1",-90.8641692307692,16.2011,"Invertebrates","Land_use","Pasture","Land_use_category",30,0.766666666666667,0.956889487827074
"PREDICTS",6,"6_1","AR1_2008__Navarrete","AR1_2008__Navarrete 1",-90.86315,16.2059,"Invertebrates","Land_use","Pasture","Land_use_category",14,0.785714285714286,0.856781896432042
"PREDICTS",6,"6_1","AR1_2008__Navarrete","AR1_2008__Navarrete 1",-90.9821,16.1045,"Invertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",44,0.431818181818182,0.702548529985984
